"","rumination_measure","rumination_intensity"
"1","trait_rumination",-0.173005123451036
"2","mean_state_rumination",-0.313045800650764
"3","trait_rumination",-0.0588349106789721
"4","mean_state_rumination",-0.278128013571674
"5","trait_rumination",-0.0977601245508015
"6","mean_state_rumination",-0.339446518805449
"7","trait_rumination",-0.0917892215098234
"8","mean_state_rumination",-0.316320469960564
"9","trait_rumination",-0.246228671229543
"10","mean_state_rumination",-0.333900849058073
"11","trait_rumination",-0.209527198457246
"12","mean_state_rumination",-0.285784366580628
"13","trait_rumination",-0.130839569891443
"14","mean_state_rumination",-0.345132440915035
"15","trait_rumination",-0.0476802306687383
"16","mean_state_rumination",-0.395855770219737
"17","trait_rumination",-0.164226737304442
"18","mean_state_rumination",-0.279511484392211
"19","trait_rumination",-0.110912647530014
"20","mean_state_rumination",-0.351464528666594
"21","trait_rumination",-0.0887085528444693
"22","mean_state_rumination",-0.449024791775906
"23","trait_rumination",-0.196296789121634
"24","mean_state_rumination",-0.367385055474346
"25","trait_rumination",-0.0203065500524647
"26","mean_state_rumination",-0.253605478904367
"27","trait_rumination",-0.108102536977372
"28","mean_state_rumination",-0.296882804987523
"29","trait_rumination",-0.163996288332099
"30","mean_state_rumination",-0.284990940946174
"31","trait_rumination",-0.0618803909427081
"32","mean_state_rumination",-0.398569958988217
"33","trait_rumination",-0.207018816625692
"34","mean_state_rumination",-0.348006783562747
"35","trait_rumination",-0.157432489233087
"36","mean_state_rumination",-0.257613736151717
"37","trait_rumination",-0.153514035811188
"38","mean_state_rumination",-0.29726667473608
"39","trait_rumination",-0.12550731922568
"40","mean_state_rumination",-0.36110766941793
"41","trait_rumination",-0.132151473032492
"42","mean_state_rumination",-0.367048802260244
"43","trait_rumination",-0.164451499036401
"44","mean_state_rumination",-0.307573179470153
"45","trait_rumination",-0.192609638337472
"46","mean_state_rumination",-0.279000298130744
"47","trait_rumination",-0.158254346405024
"48","mean_state_rumination",-0.269668055923255
"49","trait_rumination",-0.20467030555646
"50","mean_state_rumination",-0.256211819498298
"51","trait_rumination",-0.224498807087432
"52","mean_state_rumination",-0.29372283166528
"53","trait_rumination",-0.163933091622956
"54","mean_state_rumination",-0.366753004682522
"55","trait_rumination",-0.210187428385561
"56","mean_state_rumination",-0.314268828339732
"57","trait_rumination",-0.12550010781869
"58","mean_state_rumination",-0.291137777920106
"59","trait_rumination",-0.16650269984071
"60","mean_state_rumination",-0.331661507054169
"61","trait_rumination",-0.199710875938351
"62","mean_state_rumination",-0.326101338682862
"63","trait_rumination",-0.250748261601978
"64","mean_state_rumination",-0.305728722218208
"65","trait_rumination",-0.135163281550671
"66","mean_state_rumination",-0.286017193996234
"67","trait_rumination",-0.268985597719355
"68","mean_state_rumination",-0.225367506712598
"69","trait_rumination",-0.127157990642661
"70","mean_state_rumination",-0.335756563483063
"71","trait_rumination",-0.161785725952829
"72","mean_state_rumination",-0.343482694767423
"73","trait_rumination",-0.198370265795715
"74","mean_state_rumination",-0.296877582943802
"75","trait_rumination",-0.149933794325986
"76","mean_state_rumination",-0.314874695736417
"77","trait_rumination",-0.166812050170326
"78","mean_state_rumination",-0.332201583827419
"79","trait_rumination",-0.104199542446341
"80","mean_state_rumination",-0.313105505483321
"81","trait_rumination",-0.187854990210719
"82","mean_state_rumination",-0.231592114678264
"83","trait_rumination",-0.197074732229683
"84","mean_state_rumination",-0.346595087636878
"85","trait_rumination",-0.279390458086714
"86","mean_state_rumination",-0.164206973752514
"87","trait_rumination",-0.113271443839696
"88","mean_state_rumination",-0.295340043141131
"89","trait_rumination",-0.216625938564936
"90","mean_state_rumination",-0.310185285273805
"91","trait_rumination",-0.119202559587059
"92","mean_state_rumination",-0.249269496002864
"93","trait_rumination",-0.183446331671742
"94","mean_state_rumination",-0.245242934669717
"95","trait_rumination",-0.123219086635421
"96","mean_state_rumination",-0.416007843762449
"97","trait_rumination",-0.119163723457281
"98","mean_state_rumination",-0.305173408734551
"99","trait_rumination",-0.181872710827707
"100","mean_state_rumination",-0.326881616852032
"101","trait_rumination",-0.205248162237023
"102","mean_state_rumination",-0.273940148586724
"103","trait_rumination",-0.172119402195806
"104","mean_state_rumination",-0.30055171891006
"105","trait_rumination",-0.0997129901943863
"106","mean_state_rumination",-0.383779597830145
"107","trait_rumination",-0.212582415931908
"108","mean_state_rumination",-0.31190277696761
"109","trait_rumination",-0.369199838968882
"110","mean_state_rumination",-0.240154902553235
"111","trait_rumination",-0.0895668129288107
"112","mean_state_rumination",-0.356789494431845
"113","trait_rumination",-0.175954690932486
"114","mean_state_rumination",-0.352191457734649
"115","trait_rumination",-0.213830110493256
"116","mean_state_rumination",-0.237737618415217
"117","trait_rumination",-0.18835494225248
"118","mean_state_rumination",-0.318492702073383
"119","trait_rumination",-0.130694236721201
"120","mean_state_rumination",-0.383078769026862
"121","trait_rumination",-0.268437055533933
"122","mean_state_rumination",-0.317278687174145
"123","trait_rumination",-0.145327648067758
"124","mean_state_rumination",-0.313518504573865
"125","trait_rumination",-0.0937492668793136
"126","mean_state_rumination",-0.313439107336729
"127","trait_rumination",-0.0844705229066499
"128","mean_state_rumination",-0.302886667996722
"129","trait_rumination",-0.106913678631371
"130","mean_state_rumination",-0.377966348739615
"131","trait_rumination",-0.0882854201415531
"132","mean_state_rumination",-0.399032300196872
"133","trait_rumination",-0.270796874218359
"134","mean_state_rumination",-0.335107660778403
"135","trait_rumination",-0.0997677608408233
"136","mean_state_rumination",-0.4511593835125
"137","trait_rumination",-0.175254401092828
"138","mean_state_rumination",-0.284586418334942
"139","trait_rumination",-0.0777316837578769
"140","mean_state_rumination",-0.328038094239502
"141","trait_rumination",-0.202308492601657
"142","mean_state_rumination",-0.340950957721503
"143","trait_rumination",-0.328281769784874
"144","mean_state_rumination",-0.246743569075743
"145","trait_rumination",-0.08528913239495
"146","mean_state_rumination",-0.34584855252381
"147","trait_rumination",-0.176094030623117
"148","mean_state_rumination",-0.248024330267875
"149","trait_rumination",-0.121730914935978
"150","mean_state_rumination",-0.309973226236603
"151","trait_rumination",-0.146095263002612
