"","rumination_measure","rumination_intensity"
"1","trait_rumination",-0.0670301240601245
"2","mean_state_rumination",-0.264213424295523
"3","state_rumination",-0.304225378073676
"4","trait_rumination",-0.153651466098378
"5","mean_state_rumination",-0.286753366898786
"6","state_rumination",-0.300039502610601
"7","trait_rumination",-0.197084908328731
"8","mean_state_rumination",-0.226273863966752
"9","state_rumination",-0.294165668390411
"10","trait_rumination",-0.195708323889855
"11","mean_state_rumination",-0.273570886059627
"12","state_rumination",-0.292019924934813
"13","trait_rumination",-0.125930269016524
"14","mean_state_rumination",-0.311216280409929
"15","state_rumination",-0.278805358721225
"16","trait_rumination",-0.215238412617662
"17","mean_state_rumination",-0.271789148242745
"18","state_rumination",-0.31502778805415
"19","trait_rumination",-0.222908458259636
"20","mean_state_rumination",-0.221814075994377
"21","state_rumination",-0.310942972871327
"22","trait_rumination",-0.0842072226793787
"23","mean_state_rumination",-0.364884263022474
"24","state_rumination",-0.299710044792879
"25","trait_rumination",-0.233984127482771
"26","mean_state_rumination",-0.234538208973484
"27","state_rumination",-0.312391783938195
"28","trait_rumination",-0.1493969190056
"29","mean_state_rumination",-0.227378417749181
"30","state_rumination",-0.322400996711879
"31","trait_rumination",-0.0461088744074435
"32","mean_state_rumination",-0.327600430952558
"33","state_rumination",-0.291896218438212
"34","trait_rumination",-0.241763261129599
"35","mean_state_rumination",-0.287712928744322
"36","state_rumination",-0.298025055115481
"37","trait_rumination",-0.080495790081119
"38","mean_state_rumination",-0.316660606266665
"39","state_rumination",-0.267228166745487
"40","trait_rumination",-0.124874712506247
"41","mean_state_rumination",-0.269743512558555
"42","state_rumination",-0.263068138946769
"43","trait_rumination",-0.126183774007007
"44","mean_state_rumination",-0.326743426897924
"45","state_rumination",-0.295003862346476
"46","trait_rumination",-0.0544603112666672
"47","mean_state_rumination",-0.375675336707658
"48","state_rumination",-0.28398345326461
"49","trait_rumination",-0.231452789993743
"50","mean_state_rumination",-0.306293688269123
"51","state_rumination",-0.280222681646735
"52","trait_rumination",-0.0705039944361437
"53","mean_state_rumination",-0.207896769504385
"54","state_rumination",-0.282912221371659
"55","trait_rumination",-0.103685257090199
"56","mean_state_rumination",-0.330542204023617
"57","state_rumination",-0.326032495606624
"58","trait_rumination",-0.157172732733637
"59","mean_state_rumination",-0.151583575821785
"60","state_rumination",-0.321662079727976
"61","trait_rumination",-0.165409706741332
"62","mean_state_rumination",-0.296116081364733
"63","state_rumination",-0.283554733810355
"64","trait_rumination",-0.245808441778941
"65","mean_state_rumination",-0.311828678862667
"66","state_rumination",-0.276142690547705
"67","trait_rumination",-0.0898976781948693
"68","mean_state_rumination",-0.36025020654071
"69","state_rumination",-0.267268110071877
"70","trait_rumination",-0.16794464923604
"71","mean_state_rumination",-0.237155128947445
"72","state_rumination",-0.283194556384314
"73","trait_rumination",-0.247250408929387
"74","mean_state_rumination",-0.172371131714288
"75","state_rumination",-0.303610804157363
"76","trait_rumination",-0.173878763068727
"77","mean_state_rumination",-0.304343418064311
"78","state_rumination",-0.289860141916518
"79","trait_rumination",-0.175150575695609
"80","mean_state_rumination",-0.230296944595561
"81","state_rumination",-0.300114772645317
"82","trait_rumination",-0.300046262974855
"83","mean_state_rumination",-0.339550875718672
"84","state_rumination",-0.293426561905261
"85","trait_rumination",-0.0853622395526686
"86","mean_state_rumination",-0.30644531019726
"87","state_rumination",-0.275097399510022
"88","trait_rumination",-0.320037948585012
"89","mean_state_rumination",-0.277878767695299
"90","state_rumination",-0.282477583071448
"91","trait_rumination",-0.0863378268857648
"92","mean_state_rumination",-0.351591102755381
"93","state_rumination",-0.278641316958031
"94","trait_rumination",-0.123288219023138
"95","mean_state_rumination",-0.43236218244224
"96","state_rumination",-0.28878162739837
"97","trait_rumination",-0.141516171736822
"98","mean_state_rumination",-0.347831949934677
"99","state_rumination",-0.282882569418444
"100","trait_rumination",-0.1990871026402
"101","mean_state_rumination",-0.255806882949446
"102","state_rumination",-0.279217503515523
"103","trait_rumination",-0.276531767081187
"104","mean_state_rumination",-0.23225173912825
"105","state_rumination",-0.275142331685048
"106","trait_rumination",-0.0551758424102638
"107","mean_state_rumination",-0.407186190563195
"108","state_rumination",-0.319704225785967
"109","trait_rumination",-0.146801147689091
"110","mean_state_rumination",-0.373082276465578
"111","state_rumination",-0.300153242194597
"112","trait_rumination",-0.0386588299710974
"113","mean_state_rumination",-0.34394406167736
"114","state_rumination",-0.315172934352973
"115","trait_rumination",-0.131459678295153
"116","mean_state_rumination",-0.271263601650201
"117","state_rumination",-0.279921582709568
"118","trait_rumination",-0.250093428029525
"119","mean_state_rumination",-0.240933350843584
"120","state_rumination",-0.286619239539162
"121","trait_rumination",-0.247292459492215
"122","mean_state_rumination",-0.288602700461885
"123","state_rumination",-0.296818771452541
"124","trait_rumination",-0.140019608580401
"125","mean_state_rumination",-0.296336383093166
"126","state_rumination",-0.32145612804588
"127","trait_rumination",-0.193940979072368
"128","mean_state_rumination",-0.337298176902598
"129","state_rumination",-0.282162637820431
"130","trait_rumination",-0.214166432792609
"131","mean_state_rumination",-0.311398174295668
"132","state_rumination",-0.308335978447252
"133","trait_rumination",-0.108374206212147
"134","mean_state_rumination",-0.277394371980194
"135","state_rumination",-0.28490601002713
"136","trait_rumination",-0.18373140803091
