id_emo,max_day_esm
1,4
2,23
3,28
4,1
5,28
6,28
7,12
8,28
9,28
10,1
11,15
12,7
13,18
14,28
15,28
16,28
17,1
18,12
19,28
20,2
21,28
22,24
23,28
24,28
25,28
26,7
27,27
28,1
29,28
30,28
31,28
32,28
33,17
34,28
35,3
36,9
37,28
38,6
39,28
40,15
41,28
42,8
43,2
44,23
45,7
46,28
47,28
48,8
49,28
50,1
51,7
52,7
53,25
54,27
55,28
56,28
57,28
58,28
59,28
60,27
61,9
62,5
63,18
64,28
65,28
66,28
67,9
68,14
69,28
70,11
71,1
72,6
73,3
74,28
75,15
76,28
77,14
78,3
79,8
80,27
81,28
82,28
83,1
84,1
85,7
86,1
87,2
88,28
89,3
90,12
91,28
92,26
93,28
94,5
95,1
96,1
97,15
98,15
99,28
100,2
101,28
102,1
103,28
104,28
105,28
106,13
107,28
108,28
109,2
110,28
111,4
112,28
113,1
114,28
115,1
116,22
117,2
118,28
119,28
120,3
121,6
122,28
123,11
124,23
125,19
126,28
127,2
128,1
129,1
130,28
131,24
132,28
133,28
134,28
135,28
136,3
137,1
138,1
139,3
140,28
141,3
142,28
143,1
144,2
145,28
146,8
147,28
148,1
149,28
150,28
151,28
152,9
153,3
154,23
155,11
156,4
157,7
158,28
159,28
160,28
161,28
162,28
163,28
164,28
165,2
166,7
167,9
168,28
169,28
170,28
171,28
172,28
173,28
174,28
175,12
176,27
177,28
178,2
179,28
180,27
181,5
182,2
183,15
184,11
185,28
186,28
187,4
188,28
189,19
190,14
191,28
192,3
193,4
194,28
195,1
196,3
197,28
198,28
199,28
200,28
201,1
202,28
203,28
204,2
205,28
206,1
207,28
208,28
209,28
210,3
211,28
212,7
213,2
214,28
215,3
216,5
217,28
218,1
219,3
220,8
221,8
222,15
223,19
224,28
225,24
226,12
227,5
228,28
229,28
230,27
231,28
232,28
233,28
234,4
235,14
236,1
237,1
238,2
239,28
240,16
241,5
242,28
243,28
244,1
245,27
246,24
247,21
