trait_NA,trait_PA,id
26,41,NA
23,39,114
20,47,NA
18,39,NA
26,35,36
26,45,162
27,32,246
16,41,29
24,40,68
21,47,135
13,49,112
21,43,217
22,35,220
10,47,236
26,34,NA
21,40,187
17,42,128
24,48,198
24,32,132
25,37,59
22,36,66
26,45,177
34,47,207
18,40,202
17,46,87
34,39,22
10,42,65
15,29,NA
27,30,38
32,33,NA
11,48,90
10,50,237
22,40,118
35,21,NA
14,40,8
27,42,166
12,38,222
12,40,88
16,33,171
19,38,142
41,18,26
21,42,115
12,34,244
11,46,79
17,32,72
22,38,NA
24,31,NA
29,41,6
25,38,NA
26,39,233
22,50,127
24,36,37
16,38,117
16,43,194
12,48,178
18,36,96
19,46,151
13,44,58
15,41,133
24,38,164
41,30,203
23,38,101
21,44,NA
14,34,235
32,38,32
15,38,195
32,33,NA
19,46,107
16,36,239
25,38,3
14,24,47
22,32,NA
23,39,40
17,43,56
43,42,NA
24,44,230
27,32,102
38,32,NA
17,38,9
24,44,28
23,45,55
13,41,35
16,43,206
18,44,104
16,41,161
26,31,231
30,46,219
17,43,241
17,40,158
22,38,159
17,44,NA
22,45,71
14,34,18
13,46,76
29,39,NA
19,43,93
23,38,NA
13,49,86
25,31,83
18,48,64
30,40,140
17,39,215
16,36,95
26,45,214
29,33,97
17,39,NA
28,27,232
35,39,137
17,41,170
24,46,16
41,24,149
35,27,224
21,42,11
20,36,NA
11,40,240
27,33,111
11,41,188
29,35,89
24,36,50
28,35,42
15,36,52
12,42,189
24,43,70
28,46,121
40,27,NA
21,41,131
13,48,17
19,40,134
22,44,186
33,30,57
24,24,NA
12,31,78
13,48,NA
27,37,157
29,35,12
21,42,200
19,44,2
19,40,213
22,44,67
23,34,199
17,43,NA
26,35,48
13,32,116
20,40,84
25,43,113
29,26,23
36,34,204
33,27,14
30,40,210
17,43,120
18,31,109
27,37,119
22,40,82
22,42,160
38,40,34
26,46,NA
15,39,147
17,33,125
21,39,NA
30,30,123
19,45,51
26,27,103
32,33,105
29,42,69
20,44,19
25,38,75
29,38,163
29,42,216
21,42,197
19,41,53
20,44,15
24,36,31
27,46,NA
36,39,NA
14,45,106
29,37,NA
29,35,155
27,30,62
30,46,100
33,39,176
21,31,173
28,37,141
15,42,242
33,36,234
35,23,NA
28,41,NA
16,34,NA
18,36,190
30,32,154
15,44,227
13,37,NA
27,19,226
29,40,184
18,37,183
28,34,211
32,36,124
24,40,NA
13,41,NA
18,38,77
23,45,144
27,37,168
17,39,138
19,42,21
20,39,209
15,36,174
26,39,NA
14,42,191
22,41,175
20,32,238
16,38,180
25,39,201
17,38,61
18,36,30
30,33,NA
20,40,126
33,30,5
11,45,165
13,36,143
28,35,181
29,40,85
10,48,27
27,37,NA
30,38,193
31,43,NA
25,37,20
15,44,150
21,48,NA
29,27,148
24,28,39
10,47,10
26,40,218
18,44,NA
34,36,91
18,39,169
15,33,108
22,39,205
20,45,146
46,40,33
22,32,139
23,35,145
24,33,212
20,38,182
20,36,94
21,36,122
40,40,73
25,31,NA
14,36,153
26,34,46
28,41,228
25,41,NA
16,43,156
24,38,243
19,37,229
16,43,98
19,41,NA
17,39,NA
14,33,196
24,47,136
33,33,NA
18,43,43
21,40,24
25,22,110
30,43,NA
23,36,NA
44,41,41
33,41,167
41,25,NA
25,41,185
27,48,NA
21,44,130
18,44,92
18,38,223
11,46,7
14,38,4
20,45,80
23,46,60
25,38,NA
17,46,NA
16,37,45
20,47,179
10,40,129
23,43,49
31,36,13
14,46,152
29,40,54
29,32,172
18,47,74
27,38,208
15,27,NA
29,27,25
26,42,NA
30,45,NA
29,32,247
27,32,1
20,38,99
30,39,192
27,33,81
26,44,NA
22,26,63
33,29,245
19,32,NA
20,37,44
11,38,221
28,37,225
